,release_date,domestic_gross
0,"Dec 18, 2009","$760,507,625"
1,"May 20, 2011","$241,063,875"
2,"Jun 7, 2019","$42,762,350"
3,"May 1, 2015","$459,005,868"
4,"Dec 15, 2017","$620,181,382"
5,"Dec 18, 2015","$936,662,225"
6,"Apr 27, 2018","$678,815,482"
7,"May 24, 2007","$309,420,425"
8,"Nov 17, 2017","$229,024,295"
9,"Nov 6, 2015","$200,074,175"
10,"Jul 20, 2012","$448,139,099"
11,"May 25, 2018","$213,767,512"
12,"Jul 2, 2013","$89,302,115"
13,"Mar 9, 2012","$73,058,679"
14,"Nov 24, 2010","$200,821,936"
15,"May 4, 2007","$336,530,303"
16,"May 6, 2016","$408,084,349"
17,"Mar 25, 2016","$330,360,194"
18,"Dec 14, 2012","$303,003,568"
19,"Jul 15, 2009","$302,089,278"
20,"Dec 13, 2013","$258,366,855"
21,"Dec 17, 2014","$255,119,788"
22,"Apr 14, 2017","$225,764,765"
23,"Jun 28, 2006","$200,120,000"
24,"May 26, 2017","$172,558,876"
25,"Nov 14, 2008","$169,368,427"
26,"May 4, 2012","$623,279,547"
27,"Jul 7, 2006","$423,315,812"
28,"Jun 14, 2013","$291,045,518"
29,"May 16, 2008","$141,621,490"
30,"Jul 3, 2012","$262,030,663"
31,"May 18, 2012","$65,233,400"
32,"Jun 21, 2017","$130,168,683"
33,"Jun 12, 2015","$652,270,625"
34,"May 25, 2012","$179,020,854"
35,"Jun 24, 2009","$402,111,870"
36,"Jun 27, 2014","$245,439,076"
37,"May 26, 2006","$234,362,462"
38,"May 14, 2010","$105,487,148"
39,"Dec 14, 2005","$218,080,025"
40,"Dec 7, 2007","$70,107,728"
41,"Feb 16, 2018","$700,059,566"
42,"Dec 19, 1997","$659,363,944"
43,"Jun 15, 2018","$608,581,744"
44,"Dec 16, 2016","$532,177,324"
45,"Jun 17, 2016","$486,295,561"
46,"Jun 18, 2010","$415,004,880"
47,"May 3, 2013","$408,992,272"
48,"May 5, 2017","$389,813,101"
49,"Jun 30, 2004","$373,524,485"
50,"Mar 5, 2010","$334,191,110"
51,"Nov 8, 2012","$304,360,277"
52,"Jun 21, 2013","$268,488,329"
53,"Mar 8, 2013","$234,770,996"
54,"May 23, 2014","$233,921,534"
55,"May 2, 2014","$202,853,933"
56,"Jun 24, 2011","$191,450,875"
57,"Dec 17, 2010","$172,062,763"
58,"Nov 13, 2009","$166,112,167"
59,"Nov 16, 2018","$159,555,901"
60,"May 21, 2009","$125,322,469"
61,"Jun 17, 2011","$116,601,172"
62,"May 28, 2010","$90,759,676"
63,"Jun 29, 2011","$352,390,543"
64,"Jun 9, 2017","$80,101,125"
65,"Mar 1, 2013","$65,187,603"
66,"Apr 3, 2015","$353,007,020"
67,"May 16, 2013","$228,778,661"
68,"Jun 21, 2013","$202,359,711"
69,"May 10, 2013","$144,840,419"
70,"Nov 6, 2009","$137,855,863"
71,"Jul 12, 2013","$101,802,906"
72,"Nov 25, 2015","$123,087,120"
73,"May 2, 2008","$318,604,126"
74,"Jul 18, 2008","$533,720,947"
75,"May 22, 2008","$317,101,119"
76,"Jun 22, 2012","$237,282,182"
77,"Mar 10, 2017","$168,052,812"
78,"Jul 22, 2016","$158,848,340"
79,"Oct 6, 2017","$92,054,159"
80,"May 24, 2019","$246,734,314"
81,"Nov 3, 2017","$315,058,289"
82,"Dec 9, 2005","$291,710,957"
83,"May 30, 2014","$241,407,328"
84,"Nov 18, 2016","$234,037,575"
85,"Jun 27, 2008","$223,808,164"
86,"Aug 10, 2007","$140,125,968"
87,"Jul 1, 2016","$126,643,061"
88,"Nov 23, 2011","$73,864,507"
89,"Jul 21, 2017","$40,479,370"
90,"Feb 6, 2015","$47,482,519"
91,"Jul 27, 2018","$220,159,104"
92,"May 27, 2016","$155,442,489"
93,"Aug 10, 2018","$145,443,742"
94,"Jun 6, 2014","$100,206,256"
95,"Mar 8, 2019","$426,525,952"
96,"Apr 15, 2016","$364,001,123"
97,"Jun 19, 2015","$356,461,711"
98,"Jul 7, 2017","$334,201,140"
99,"Aug 5, 2016","$325,100,054"
100,"May 29, 2009","$293,004,164"
101,"Nov 22, 2017","$209,726,015"
102,"Nov 21, 2018","$201,091,711"
103,"Mar 27, 2009","$198,351,526"
104,"Jun 16, 2017","$152,901,115"
105,"Aug 7, 2009","$150,201,498"
106,"Jun 30, 1999","$113,805,681"
107,"Aug 1, 2008","$102,491,776"
108,"Jun 22, 2007","$100,289,690"
109,"Jul 28, 1995","$88,246,220"
110,"May 12, 2017","$39,175,066"
111,"Dec 25, 2013","$38,362,475"
112,"Jun 22, 2018","$417,719,760"
113,"Aug 1, 2014","$333,172,112"
114,"May 7, 2010","$312,433,331"
115,"Apr 4, 2014","$259,746,958"
116,"Jul 11, 2014","$208,545,589"
117,"Nov 10, 2004","$187,224,605"
118,"Jun 1, 2012","$155,136,755"
119,"Jul 1, 2003","$150,358,296"
120,"May 7, 2004","$120,150,546"
121,"Mar 29, 2019","$113,883,318"
122,"May 22, 2015","$93,436,322"
123,"Feb 14, 2019","$85,710,210"
124,"May 31, 2019","$85,576,941"
125,"May 27, 2016","$77,042,381"
126,"May 21, 2010","$238,736,787"
127,"Nov 4, 2016","$232,641,920"
128,"Nov 7, 2014","$222,527,828"
129,"Mar 26, 2010","$217,581,232"
130,"Nov 2, 2012","$189,412,677"
131,"Nov 5, 2014","$188,017,894"
132,"Jun 24, 2016","$103,144,286"
133,"Jul 29, 2011","$100,368,560"
134,"Mar 17, 2017","$504,014,165"
135,"Dec 21, 2018","$335,061,807"
136,"May 17, 2007","$322,719,944"
137,"Jul 16, 2010","$292,576,195"
138,"Nov 20, 2015","$281,723,902"
139,"May 24, 2013","$238,679,850"
140,"May 16, 2014","$200,676,069"
141,"Jun 3, 2011","$146,408,305"
142,"Dec 25, 2008","$127,509,326"
143,"Jul 14, 2010","$63,150,991"
144,"May 12, 2006","$60,674,817"
145,"Jun 10, 2016","$47,225,655"
146,"Sep 30, 2016","$61,433,527"
147,"Dec 10, 2010","$104,386,950"
148,"Jul 1, 2015","$89,760,956"
149,"Mar 23, 2018","$59,874,525"
150,"Nov 24, 2004","$34,297,191"
151,"Jul 14, 2017","$146,880,162"
152,"May 25, 2001","$198,539,855"
153,"Jul 2, 2007","$319,246,193"
