,studio,domestic_gross
0,BV,415000000.0
1,BV,334200000.0
2,WB,296000000.0
3,WB,292600000.0
4,P/DW,238700000.0
5,Sum.,300500000.0
6,Par.,312400000.0
7,BV,200800000.0
8,Uni.,251500000.0
9,P/DW,217600000.0
10,WB,163200000.0
11,Fox,104400000.0
12,Wein.,135500000.0
13,BV,172100000.0
14,Sony,176600000.0
15,BV,90800000.0
16,FoxS,107000000.0
17,P/DW,148400000.0
18,Uni.,105300000.0
19,Par.,131800000.0
20,Uni.,148400000.0
21,SGem,60100000.0
22,Par.,128000000.0
23,Sony,118300000.0
24,WB (NL),95300000.0
25,Sony,67600000.0
26,LGF,103100000.0
27,Sony,162000000.0
28,Fox,76400000.0
29,Par.,171200000.0
30,Fox,42800000.0
31,Fox,88800000.0
32,Sony,97000000.0
33,WB (NL),110500000.0
34,BV,63200000.0
35,WB,100500000.0
36,Sony,80600000.0
37,WB,100200000.0
38,Sum.,90400000.0
39,Par.,84800000.0
40,Fox,77200000.0
41,Par.,117200000.0
42,Sony,119200000.0
43,Fox,81600000.0
44,BV,42400000.0
45,WB,94800000.0
46,WB,92200000.0
47,Fox,98700000.0
48,WB,55700000.0
49,Uni.,62000000.0
50,Sony,67099999.0
51,LGF,45700000.0
52,Fox,52500000.0
53,Par.,93600000.0
54,Fox,52000000.0
55,WB (NL),63100000.0
56,SGem,80000000.0
57,WB,43600000.0
58,Fox,60000000.0
59,WB,53400000.0
60,WB,32700000.0
61,MBox,10100000.0
62,Fox,32400000.0
63,CL,63000.0
64,LGF,47100000.0
65,LGF,48100000.0
66,Uni.,35100000.0
67,Uni.,29000000.0
68,Uni.,61000000.0
69,SGem,39400000.0
70,BV,63000000.0
71,P/DW,73000000.0
72,Fox,33600000.0
73,W/Dim.,25000000.0
74,BV,19400000.0
75,WB,43300000.0
76,Fox,36700000.0
77,Sum.,53000000.0
78,CBS,37500000.0
79,CL,427000.0
80,Fox,64000000.0
81,SGem,58400000.0
82,WB,52400000.0
83,SGem,57700000.0
84,BV,48500.0
85,SGem,40200000.0
86,Focus,35600000.0
87,LGF,41000000.0
88,LGF,21100000.0
89,MBox,7600000.0
90,Uni.,21400000.0
91,MGM,50300000.0
92,Uni.,33600000.0
93,FoxS,18300000.0
94,LGF,60100000.0
95,BV,59700000.0
96,Sum.,15500000.0
97,Par.,31000000.0
98,Sum.,19100000.0
99,WB,44900000.0
100,Over.,39100000.0
101,LGF,24100000.0
102,LGF,30100000.0
103,LGF,25100000.0
104,Mira.,27800000.0
105,Par.,32000000.0
106,SGem,42700000.0
107,Sony,30200000.0
108,Uni.,31200000.0
109,Uni.,31500000.0
110,IFC,504000.0
111,LGF,24300000.0
112,IFC,128000.0
113,Fox,26600000.0
114,MBox,5200000.0
115,CJ,528000.0
116,BV,32700000.0
117,FoxS,4000000.0
118,WB (NL),17800000.0
119,Wein.,658000.0
120,NM,619000.0
121,LGF,37700000.0
122,Over.,27200000.0
123,Sum.,17600000.0
124,CBS,23200000.0
125,Focus,20800000.0
126,SPC,3200000.0
127,SPC,6400000.0
128,Fox,10700000.0
129,Uni.,25900000.0
130,BV,25700000.0
131,MBox,552000.0
132,WB,23600000.0
133,ParV,13300000.0
134,Fox,26200000.0
135,WB,17000000.0
136,Sum.,9500000.0
137,Over.,12100000.0
138,Gold.,4800000.0
139,FoxS,21500000.0
140,FoxS,20300000.0
141,Uni.,14700000.0
142,JS,177000.0
143,RAtt.,2000000.0
144,SGem,20200000.0
145,SPC,3200000.0
146,W/Dim.,15300000.0
147,LGF,1000000.0
148,Magn.,27800.0
149,Uni.,13800000.0
150,SPC,2100000.0
151,IFC,277000.0
152,Magn.,552000.0
153,SPC,1300000.0
154,Free,195000.0
155,3D,6100000.0
156,UTV,848000.0
157,CBS,12100000.0
158,Focus,1800000.0
159,RAtt.,6500000.0
160,SPC,6600000.0
161,UTV,1500000.0
162,SPC,1100000.0
163,Wein.,9700000.0
164,SPC,560000.0
165,SPC,3100000.0
166,IFC,55800.0
167,Rela.,5700000.0
168,Magn.,5000000.0
169,WB,10500000.0
170,Gold.,1800000.0
171,FoxS,7500000.0
172,FoxS,6800000.0
173,SPC,9200000.0
174,Focus,7300000.0
175,Over.,1800000.0
176,UTV,758000.0
177,FoxS,2400000.0
178,Zeit.,675000.0
179,Uni.,8500000.0
180,Anch.,6700000.0
181,SPC,4300000.0
182,RAtt.,1500000.0
183,Magn.,124000.0
184,SPC,1000000.0
185,Wein.,1500000.0
186,Focus,6400000.0
187,ParV,6400000.0
188,Focus,4200000.0
189,SPC,1600000.0
190,IFC,619000.0
191,SPC,2200000.0
192,PDA,3300000.0
193,Lorb.,532000.0
194,Anch.,4400000.0
195,LGF,2200000.0
196,Zeit.,435000.0
197,SPC,1100000.0
198,App.,3600000.0
199,Drft.,305000.0
200,SPC,404000.0
201,SPC,4000000.0
202,Magn.,237000.0
203,Osci.,236000.0
204,IFC,217000.0
205,IW,1000000.0
206,Gold.,3800000.0
207,IFC,108000.0
208,Rog.,3200000.0
209,Free,109000.0
210,,96900.0
211,Anch.,246000.0
212,Eros,1300000.0
213,Relbig.,1600000.0
214,Viv.,2800000.0
215,Hann.,184000.0
216,UTV,1100000.0
217,IFC,375000.0
218,Eros,1200000.0
219,Eros,1100000.0
220,Anch.,109000.0
221,IFC,1600000.0
222,WB,1800000.0
223,UTV,1000000.0
224,Magn.,550000.0
225,Eros,855000.0
226,Strand,67500.0
227,NGE,1300000.0
228,Relbig.,709000.0
229,Scre.,493000.0
230,UTV,
231,Kino,622000.0
232,Lorb.,37000.0
233,SPC,368000.0
234,Osci.,617000.0
235,Kino,23700.0
236,Abr.,246000.0
237,CZ,915000.0
238,ATO,1000000.0
239,IFC,176000.0
240,Eros,542000.0
241,UTV,638000.0
242,First,70100.0
243,MBox,711000.0
244,NM,341000.0
245,IFC,81800.0
246,IFC,146000.0
247,Strand,34500.0
248,Anch.,167000.0
249,Relbig.,428000.0
250,Eros,527000.0
251,IFC,281000.0
252,IFC,336000.0
253,GK,677000.0
254,WB,673000.0
255,Eros,285000.0
256,Magn.,582000.0
257,Over.,542000.0
258,FInd.,303000.0
259,NFC,139000.0
260,Anch.,93100.0
261,Magn.,409000.0
262,Lorb.,11700.0
263,TFC,109000.0
264,IFC,144000.0
265,Pala.,115000.0
266,Magn.,453000.0
267,IFC,392000.0
268,Kino,110000.0
269,Par.,366000.0
270,Mira.,278000.0
271,Magn.,20900.0
272,Scre.,225000.0
273,Strand,21100.0
274,Gold.,159000.0
275,SPC,191000.0
276,Strand,208000.0
277,MBox,275000.0
278,Imag.,39000.0
279,Eros,286000.0
280,Zeit.,288000.0
281,NAV,26300.0
282,Arth.,188000.0
283,CLS,199000.0
284,IFC,181000.0
285,Mont.,128000.0
286,Olive,2200.0
287,CGld,207000.0
288,Free,17400.0
289,UTV,169000.0
290,Magn.,189000.0
291,Magn.,177000.0
292,IFC,800.0
293,CGld,33200.0
294,Strand,10800.0
295,Magn.,133000.0
296,Magn.,102000.0
297,FOAK,107000.0
298,Sony,
299,Magn.,101000.0
300,IVP,103000.0
301,Yash,43800.0
302,Scre.,
303,Osci.,81700.0
304,BV,80700.0
305,ICir,73200.0
306,Yash,
307,IFC,5000.0
308,FM,61600.0
309,First,2000.0
310,IFC,4100.0
311,Vita.,52600.0
312,Magn.,36100.0
313,WOW,30800.0
314,IFC,2600.0
315,FM,10000.0
316,Mont.,37200.0
317,Strand,33500.0
318,IFC,21800.0
319,Truly,32200.0
320,Kino,18000.0
321,Strand,12000.0
322,Osci.,7400.0
323,Strand,11400.0
324,Abr.,11400.0
325,Indic.,10800.0
326,Lorb.,4400.0
327,Relbig.,
328,WB,381000000.0
329,P/DW,352400000.0
330,BV,241100000.0
331,Sum.,281300000.0
332,Par.,209400000.0
333,P/DW,165200000.0
334,Uni.,209800000.0
